prodboomcd,projection_year,value
SH_3_PUP_ASB_lapse_a,10,0
SH_3_PUP_ASB_lapse_a,11,0
SH_3_PUP_ASB_lapse_b,1,0
SH_3_PUP_ASB_lapse_b,2,0
SH_3_PUP_ASB_lapse_b,3,0
SH_3_PUP_ASB_lapse_b,4,0
SH_3_PUP_ASB_lapse_b,5,0
SH_3_PUP_ASB_lapse_b,6,0
SH_3_PUP_ASB_lapse_b,7,0
SH_3_PUP_ASB_lapse_b,8,0
SH_3_PUP_ASB_lapse_b,9,0
SH_3_PUP_ASB_lapse_b,10,0
SH_3_PUP_ASB_lapse_b,11,0
SH_3_PUP_ASB_pup_a,1,0
SH_3_PUP_ASB_pup_a,2,0
SH_3_PUP_ASB_pup_a,3,0
SH_3_PUP_ASB_pup_a,4,0
SH_3_PUP_ASB_pup_a,5,0
SH_3_PUP_ASB_pup_a,6,0
SH_3_PUP_ASB_pup_a,7,0
SH_3_PUP_ASB_pup_a,8,0
SH_3_PUP_ASB_pup_a,9,0
SH_3_PUP_ASB_pup_a,10,0
SH_3_PUP_ASB_pup_a,11,0
SH_3_PUP_ASB_pup_b,1,0
SH_3_PUP_ASB_pup_b,2,0
SH_3_PUP_ASB_pup_b,3,0
SH_3_PUP_ASB_pup_b,4,0
SH_3_PUP_ASB_pup_b,5,0
SH_3_PUP_ASB_pup_b,6,0
SH_3_PUP_ASB_pup_b,7,0
SH_3_PUP_ASB_pup_b,8,0
SH_3_PUP_ASB_pup_b,9,0
SH_3_PUP_ASB_pup_b,10,0
SH_3_PUP_ASB_pup_b,11,0
SH_3_PUP_MVI_lapse_a,1,0
SH_3_PUP_MVI_lapse_a,2,0
SH_3_PUP_MVI_lapse_a,3,0
SH_3_PUP_MVI_lapse_a,4,0
SH_3_PUP_MVI_lapse_a,5,0
SH_3_PUP_MVI_lapse_a,6,0
SH_3_PUP_MVI_lapse_a,7,0
SH_3_PUP_MVI_lapse_a,8,0
SH_3_PUP_MVI_lapse_a,9,0
SH_3_PUP_MVI_lapse_a,10,0
SH_3_PUP_MVI_lapse_a,11,0
SH_3_PUP_MVI_lapse_b,1,0
SH_3_PUP_MVI_lapse_b,2,0
SH_3_PUP_MVI_lapse_b,3,0
SH_3_PUP_MVI_lapse_b,4,0
SH_3_PUP_MVI_lapse_b,5,0
SH_3_PUP_MVI_lapse_b,6,0
SH_3_PUP_MVI_lapse_b,7,0
SH_3_PUP_MVI_lapse_b,8,0
SH_3_PUP_MVI_lapse_b,9,0
SH_3_PUP_MVI_lapse_b,10,0
SH_3_PUP_MVI_lapse_b,11,0
SH_3_PUP_MVI_pup_a,1,0
SH_3_PUP_MVI_pup_a,2,0
SH_3_PUP_MVI_pup_a,3,0
SH_3_PUP_MVI_pup_a,4,0
SH_3_PUP_MVI_pup_a,5,0
SH_3_PUP_MVI_pup_a,6,0
SH_3_PUP_MVI_pup_a,7,0
SH_3_PUP_MVI_pup_a,8,0
SH_3_PUP_MVI_pup_a,9,0
SH_3_PUP_MVI_pup_a,10,0
SH_3_PUP_MVI_pup_a,11,0
SH_3_PUP_MVI_pup_b,1,0
SH_3_PUP_MVI_pup_b,2,0
SH_3_PUP_MVI_pup_b,3,0
SH_3_PUP_MVI_pup_b,4,0
SH_3_PUP_MVI_pup_b,5,0
SH_3_PUP_MVI_pup_b,6,0
SH_3_PUP_MVI_pup_b,7,0
SH_3_PUP_MVI_pup_b,8,0
SH_3_PUP_MVI_pup_b,9,0
SH_3_PUP_MVI_pup_b,10,0
SH_3_PUP_MVI_pup_b,11,0
SH_4_PP_ASB_lapse_a,1,0
SH_4_PP_ASB_lapse_a,2,0
SH_4_PP_ASB_lapse_a,3,0
SH_4_PP_ASB_lapse_a,4,0
SH_4_PP_ASB_lapse_a,5,0
SH_4_PP_ASB_lapse_a,6,0
SH_4_PP_ASB_lapse_a,7,0
SH_4_PP_ASB_lapse_a,8,0
SH_4_PP_ASB_lapse_a,9,0
SH_4_PP_ASB_lapse_a,10,0
SH_4_PP_ASB_lapse_a,11,0
SH_4_PP_ASB_lapse_b,1,0
SH_4_PP_ASB_lapse_b,2,0
SH_4_PP_ASB_lapse_b,3,0
SH_4_PP_ASB_lapse_b,4,0
SH_4_PP_ASB_lapse_b,5,0
SH_4_PP_ASB_lapse_b,6,0
SH_4_PP_ASB_lapse_b,7,0
SH_4_PP_ASB_lapse_b,8,0
SH_4_PP_ASB_lapse_b,9,0
SH_4_PP_ASB_lapse_b,10,0
SH_4_PP_ASB_lapse_b,11,0
SH_4_PP_ASB_pup_a,1,0
SH_4_PP_ASB_pup_a,2,0
SH_4_PP_ASB_pup_a,3,0
SH_4_PP_ASB_pup_a,4,0
SH_4_PP_ASB_pup_a,5,0
SH_4_PP_ASB_pup_a,6,0
SH_4_PP_ASB_pup_a,7,0
SH_4_PP_ASB_pup_a,8,0
SH_4_PP_ASB_pup_a,9,0
SH_4_PP_ASB_pup_a,10,0
SH_4_PP_ASB_pup_a,11,0
SH_4_PP_ASB_pup_b,1,0
SH_4_PP_ASB_pup_b,2,0
SH_4_PP_ASB_pup_b,3,0
SH_4_PP_ASB_pup_b,4,0
SH_4_PP_ASB_pup_b,5,0
SH_4_PP_ASB_pup_b,6,0
SH_4_PP_ASB_pup_b,7,0
SH_4_PP_ASB_pup_b,8,0
SH_4_PP_ASB_pup_b,9,0
SH_4_PP_ASB_pup_b,10,0
SH_4_PP_ASB_pup_b,11,0
SH_4_PP_MVI_lapse_a,1,0
SH_4_PP_MVI_lapse_a,2,0
SH_4_PP_MVI_lapse_a,3,0
SH_4_PP_MVI_lapse_a,4,0
SH_4_PP_MVI_lapse_a,5,0
SH_4_PP_MVI_lapse_a,6,0
SH_4_PP_MVI_lapse_a,7,0
SH_4_PP_MVI_lapse_a,8,0
SH_4_PP_MVI_lapse_a,9,0
SH_4_PP_MVI_lapse_a,10,0
SH_4_PP_MVI_lapse_a,11,0
SH_4_PP_MVI_lapse_b,1,0
SH_4_PP_MVI_lapse_b,2,0
SH_4_PP_MVI_lapse_b,3,0
SH_4_PP_MVI_lapse_b,4,0
SH_4_PP_MVI_lapse_b,5,0
SH_4_PP_MVI_lapse_b,6,0
SH_4_PP_MVI_lapse_b,7,0
SH_4_PP_MVI_lapse_b,8,0
SH_4_PP_MVI_lapse_b,9,0
SH_4_PP_MVI_lapse_b,10,0
SH_4_PP_MVI_lapse_b,11,0
SH_4_PP_MVI_pup_a,1,0
SH_4_PP_MVI_pup_a,2,0
SH_4_PP_MVI_pup_a,3,0
SH_4_PP_MVI_pup_a,4,0
SH_4_PP_MVI_pup_a,5,0
SH_4_PP_MVI_pup_a,6,0
SH_4_PP_MVI_pup_a,7,0
SH_4_PP_MVI_pup_a,8,0
SH_4_PP_MVI_pup_a,9,0
SH_4_PP_MVI_pup_a,10,0
SH_4_PP_MVI_pup_a,11,0
SH_4_PP_MVI_pup_b,1,0
SH_4_PP_MVI_pup_b,2,0
SH_4_PP_MVI_pup_b,3,0
SH_4_PP_MVI_pup_b,4,0
SH_4_PP_MVI_pup_b,5,0
SH_4_PP_MVI_pup_b,6,0
SH_4_PP_MVI_pup_b,7,0
SH_4_PP_MVI_pup_b,8,0
SH_4_PP_MVI_pup_b,9,0
SH_4_PP_MVI_pup_b,10,0
SH_4_PP_MVI_pup_b,11,0
SH_4_PUP_ASB_lapse_a,1,0
SH_4_PUP_ASB_lapse_a,2,0
SH_4_PUP_ASB_lapse_a,3,0
SH_4_PUP_ASB_lapse_a,4,0
SH_4_PUP_ASB_lapse_a,5,0
SH_4_PUP_ASB_lapse_a,6,0
SH_4_PUP_ASB_lapse_a,7,0
SH_4_PUP_ASB_lapse_a,8,0
SH_4_PUP_ASB_lapse_a,9,0
SH_4_PUP_ASB_lapse_a,10,0
SH_4_PUP_ASB_lapse_a,11,0
SH_4_PUP_ASB_lapse_b,1,0
SH_4_PUP_ASB_lapse_b,2,0
SH_4_PUP_ASB_lapse_b,3,0
SH_4_PUP_ASB_lapse_b,4,0
SH_4_PUP_ASB_lapse_b,5,0
SH_4_PUP_ASB_lapse_b,6,0
SH_4_PUP_ASB_lapse_b,7,0
SH_4_PUP_ASB_lapse_b,8,0
SH_4_PUP_ASB_lapse_b,9,0
SH_4_PUP_ASB_lapse_b,10,0
SH_4_PUP_ASB_lapse_b,11,0
SH_4_PUP_ASB_pup_a,1,0
SH_4_PUP_ASB_pup_a,2,0
SH_4_PUP_ASB_pup_a,3,0
SH_4_PUP_ASB_pup_a,4,0
SH_4_PUP_ASB_pup_a,5,0
SH_4_PUP_ASB_pup_a,6,0
SH_4_PUP_ASB_pup_a,7,0
SH_4_PUP_ASB_pup_a,8,0
SH_4_PUP_ASB_pup_a,9,0
SH_4_PUP_ASB_pup_a,10,0
SH_4_PUP_ASB_pup_a,11,0
SH_4_PUP_ASB_pup_b,1,0
SH_4_PUP_ASB_pup_b,2,0
SH_4_PUP_ASB_pup_b,3,0
SH_4_PUP_ASB_pup_b,4,0
SH_4_PUP_ASB_pup_b,5,0
SH_4_PUP_ASB_pup_b,6,0
SH_4_PUP_ASB_pup_b,7,0
SH_4_PUP_ASB_pup_b,8,0
SH_4_PUP_ASB_pup_b,9,0
SH_4_PUP_ASB_pup_b,10,0
SH_4_PUP_ASB_pup_b,11,0
SH_4_PUP_MVI_lapse_a,1,0
SH_4_PUP_MVI_lapse_a,2,0
SH_4_PUP_MVI_lapse_a,3,0
SH_4_PUP_MVI_lapse_a,4,0
SH_4_PUP_MVI_lapse_a,5,0
SH_4_PUP_MVI_lapse_a,6,0
SH_4_PUP_MVI_lapse_a,7,0
SH_4_PUP_MVI_lapse_a,8,0
SH_4_PUP_MVI_lapse_a,9,0
SH_4_PUP_MVI_lapse_a,10,0
SH_4_PUP_MVI_lapse_a,11,0
SH_4_PUP_MVI_lapse_b,1,0
SH_4_PUP_MVI_lapse_b,2,0
SH_4_PUP_MVI_lapse_b,3,0
SH_4_PUP_MVI_lapse_b,4,0
SH_4_PUP_MVI_lapse_b,5,0
SH_4_PUP_MVI_lapse_b,6,0
SH_4_PUP_MVI_lapse_b,7,0
SH_4_PUP_MVI_lapse_b,8,0
SH_4_PUP_MVI_lapse_b,9,0
SH_4_PUP_MVI_lapse_b,10,0
SH_4_PUP_MVI_lapse_b,11,0
SH_4_PUP_MVI_pup_a,1,0
SH_4_PUP_MVI_pup_a,2,0
SH_4_PUP_MVI_pup_a,3,0
SH_4_PUP_MVI_pup_a,4,0
SH_4_PUP_MVI_pup_a,5,0
SH_4_PUP_MVI_pup_a,6,0
SH_4_PUP_MVI_pup_a,7,0
SH_4_PUP_MVI_pup_a,8,0
SH_4_PUP_MVI_pup_a,9,0
SH_4_PUP_MVI_pup_a,10,0
SH_4_PUP_MVI_pup_a,11,0
SH_4_PUP_MVI_pup_b,1,0
SH_4_PUP_MVI_pup_b,2,0
SH_4_PUP_MVI_pup_b,3,0
SH_4_PUP_MVI_pup_b,4,0
SH_4_PUP_MVI_pup_b,5,0
SH_4_PUP_MVI_pup_b,6,0
SH_4_PUP_MVI_pup_b,7,0
SH_4_PUP_MVI_pup_b,8,0
SH_4_PUP_MVI_pup_b,9,0
SH_4_PUP_MVI_pup_b,10,0
SH_4_PUP_MVI_pup_b,11,0
SH_5_PP_ASB_lapse_a,1,0
SH_5_PP_ASB_lapse_a,2,0
SH_5_PP_ASB_lapse_a,3,0
SH_5_PP_ASB_lapse_a,4,0
SH_5_PP_ASB_lapse_a,5,0
SH_5_PP_ASB_lapse_a,6,0
SH_5_PP_ASB_lapse_a,7,0
SH_5_PP_ASB_lapse_a,8,0
SH_5_PP_ASB_lapse_a,9,0
SH_5_PP_ASB_lapse_a,10,0
SH_5_PP_ASB_lapse_a,11,0
SH_5_PP_ASB_lapse_b,1,0
SH_5_PP_ASB_lapse_b,2,0
SH_5_PP_ASB_lapse_b,3,0
SH_5_PP_ASB_lapse_b,4,0
SH_5_PP_ASB_lapse_b,5,0
SH_5_PP_ASB_lapse_b,6,0
SH_5_PP_ASB_lapse_b,7,0
SH_5_PP_ASB_lapse_b,8,0
SH_5_PP_ASB_lapse_b,9,0
SH_5_PP_ASB_lapse_b,10,0
SH_5_PP_ASB_lapse_b,11,0
SH_5_PP_ASB_pup_a,1,0
SH_5_PP_ASB_pup_a,2,0
SH_5_PP_ASB_pup_a,3,0
SH_5_PP_ASB_pup_a,4,0
SH_5_PP_ASB_pup_a,5,0
SH_5_PP_ASB_pup_a,6,0
SH_5_PP_ASB_pup_a,7,0
SH_5_PP_ASB_pup_a,8,0
SH_5_PP_ASB_pup_a,9,0
SH_5_PP_ASB_pup_a,10,0
SH_5_PP_ASB_pup_a,11,0
SH_5_PP_ASB_pup_b,1,0
SH_5_PP_ASB_pup_b,2,0
SH_5_PP_ASB_pup_b,3,0
SH_5_PP_ASB_pup_b,4,0
SH_5_PP_ASB_pup_b,5,0
SH_5_PP_ASB_pup_b,6,0
SH_5_PP_ASB_pup_b,7,0
SH_5_PP_ASB_pup_b,8,0
SH_5_PP_ASB_pup_b,9,0
SH_5_PP_ASB_pup_b,10,0
SH_5_PP_ASB_pup_b,11,0
SH_5_PP_MVI_lapse_a,1,0
SH_5_PP_MVI_lapse_a,2,0
SH_5_PP_MVI_lapse_a,3,0
SH_5_PP_MVI_lapse_a,4,0
SH_5_PP_MVI_lapse_a,5,0
SH_5_PP_MVI_lapse_a,6,0
SH_5_PP_MVI_lapse_a,7,0
SH_5_PP_MVI_lapse_a,8,0
SH_5_PP_MVI_lapse_a,9,0
SH_5_PP_MVI_lapse_a,10,0
SH_5_PP_MVI_lapse_a,11,0
SH_5_PP_MVI_lapse_b,1,0
SH_5_PP_MVI_lapse_b,2,0
SH_5_PP_MVI_lapse_b,3,0
SH_5_PP_MVI_lapse_b,4,0
SH_5_PP_MVI_lapse_b,5,0
SH_5_PP_MVI_lapse_b,6,0
SH_5_PP_MVI_lapse_b,7,0
SH_5_PP_MVI_lapse_b,8,0
SH_5_PP_MVI_lapse_b,9,0
SH_5_PP_MVI_lapse_b,10,0
SH_5_PP_MVI_lapse_b,11,0
SH_5_PP_MVI_pup_a,1,0
SH_5_PP_MVI_pup_a,2,0
SH_5_PP_MVI_pup_a,3,0
SH_5_PP_MVI_pup_a,4,0
SH_5_PP_MVI_pup_a,5,0
SH_5_PP_MVI_pup_a,6,0
SH_5_PP_MVI_pup_a,7,0
SH_5_PP_MVI_pup_a,8,0
SH_5_PP_MVI_pup_a,9,0
SH_5_PP_MVI_pup_a,10,0
SH_5_PP_MVI_pup_a,11,0
SH_5_PP_MVI_pup_b,1,0
SH_5_PP_MVI_pup_b,2,0
SH_5_PP_MVI_pup_b,3,0
SH_5_PP_MVI_pup_b,4,0
SH_5_PP_MVI_pup_b,5,0
SH_5_PP_MVI_pup_b,6,0
SH_5_PP_MVI_pup_b,7,0
SH_5_PP_MVI_pup_b,8,0
SH_5_PP_MVI_pup_b,9,0
SH_5_PP_MVI_pup_b,10,0
SH_5_PP_MVI_pup_b,11,0
SH_5_PUP_ASB_lapse_a,1,0
SH_5_PUP_ASB_lapse_a,2,0
SH_5_PUP_ASB_lapse_a,3,0
SH_5_PUP_ASB_lapse_a,4,0
SH_5_PUP_ASB_lapse_a,5,0
SH_5_PUP_ASB_lapse_a,6,0
SH_5_PUP_ASB_lapse_a,7,0
SH_5_PUP_ASB_lapse_a,8,0
SH_5_PUP_ASB_lapse_a,9,0
SH_5_PUP_ASB_lapse_a,10,0
SH_5_PUP_ASB_lapse_a,11,0
SH_5_PUP_ASB_lapse_b,1,0
SH_5_PUP_ASB_lapse_b,2,0
SH_5_PUP_ASB_lapse_b,3,0
SH_5_PUP_ASB_lapse_b,4,0
SH_5_PUP_ASB_lapse_b,5,0
SH_5_PUP_ASB_lapse_b,6,0
SH_5_PUP_ASB_lapse_b,7,0
SH_5_PUP_ASB_lapse_b,8,0
SH_5_PUP_ASB_lapse_b,9,0
SH_5_PUP_ASB_lapse_b,10,0
SH_5_PUP_ASB_lapse_b,11,0
SH_5_PUP_ASB_pup_a,1,0
SH_5_PUP_ASB_pup_a,2,0
SH_5_PUP_ASB_pup_a,3,0
SH_5_PUP_ASB_pup_a,4,0
SH_5_PUP_ASB_pup_a,5,0
SH_5_PUP_ASB_pup_a,6,0
SH_5_PUP_ASB_pup_a,7,0
SH_5_PUP_ASB_pup_a,8,0
SH_5_PUP_ASB_pup_a,9,0
SH_5_PUP_ASB_pup_a,10,0
SH_5_PUP_ASB_pup_a,11,0
SH_5_PUP_ASB_pup_b,1,0
SH_5_PUP_ASB_pup_b,2,0
SH_5_PUP_ASB_pup_b,3,0
SH_5_PUP_ASB_pup_b,4,0
SH_5_PUP_ASB_pup_b,5,0
SH_5_PUP_ASB_pup_b,6,0
SH_5_PUP_ASB_pup_b,7,0
SH_5_PUP_ASB_pup_b,8,0
SH_5_PUP_ASB_pup_b,9,0
SH_5_PUP_ASB_pup_b,10,0
SH_5_PUP_ASB_pup_b,11,0
SH_5_PUP_MVI_lapse_a,1,0
SH_5_PUP_MVI_lapse_a,2,0
SH_5_PUP_MVI_lapse_a,3,0
SH_5_PUP_MVI_lapse_a,4,0
SH_5_PUP_MVI_lapse_a,5,0
SH_5_PUP_MVI_lapse_a,6,0
SH_5_PUP_MVI_lapse_a,7,0
SH_5_PUP_MVI_lapse_a,8,0
SH_5_PUP_MVI_lapse_a,9,0
SH_5_PUP_MVI_lapse_a,10,0
SH_5_PUP_MVI_lapse_a,11,0
SH_5_PUP_MVI_lapse_b,1,0
SH_5_PUP_MVI_lapse_b,2,0
SH_5_PUP_MVI_lapse_b,3,0
SH_5_PUP_MVI_lapse_b,4,0
SH_5_PUP_MVI_lapse_b,5,0
SH_5_PUP_MVI_lapse_b,6,0
SH_5_PUP_MVI_lapse_b,7,0
SH_5_PUP_MVI_lapse_b,8,0
SH_5_PUP_MVI_lapse_b,9,0
SH_5_PUP_MVI_lapse_b,10,0
SH_5_PUP_MVI_lapse_b,11,0
SH_5_PUP_MVI_pup_a,1,0
SH_5_PUP_MVI_pup_a,2,0
SH_5_PUP_MVI_pup_a,3,0
SH_5_PUP_MVI_pup_a,4,0
SH_5_PUP_MVI_pup_a,5,0
SH_5_PUP_MVI_pup_a,6,0
SH_5_PUP_MVI_pup_a,7,0
SH_5_PUP_MVI_pup_a,8,0
SH_5_PUP_MVI_pup_a,9,0
SH_5_PUP_MVI_pup_a,10,0
SH_5_PUP_MVI_pup_a,11,0
SH_5_PUP_MVI_pup_b,1,0
SH_5_PUP_MVI_pup_b,2,0
SH_5_PUP_MVI_pup_b,3,0
SH_5_PUP_MVI_pup_b,4,0
SH_5_PUP_MVI_pup_b,5,0
SH_5_PUP_MVI_pup_b,6,0
SH_5_PUP_MVI_pup_b,7,0
SH_5_PUP_MVI_pup_b,8,0
SH_5_PUP_MVI_pup_b,9,0
SH_5_PUP_MVI_pup_b,10,0
SH_5_PUP_MVI_pup_b,11,0
SH_6_PP_ASB_lapse_a,1,0
SH_6_PP_ASB_lapse_a,2,0
SH_6_PP_ASB_lapse_a,3,0
SH_6_PP_ASB_lapse_a,4,0
SH_6_PP_ASB_lapse_a,5,0
SH_6_PP_ASB_lapse_a,6,0
SH_6_PP_ASB_lapse_a,7,0
SH_6_PP_ASB_lapse_a,8,0
SH_6_PP_ASB_lapse_a,9,0
SH_6_PP_ASB_lapse_a,10,0
SH_6_PP_ASB_lapse_a,11,0
SH_6_PP_ASB_lapse_b,1,0
SH_6_PP_ASB_lapse_b,2,0
SH_6_PP_ASB_lapse_b,3,0
SH_6_PP_ASB_lapse_b,4,0
SH_6_PP_ASB_lapse_b,5,0
SH_6_PP_ASB_lapse_b,6,0
SH_6_PP_ASB_lapse_b,7,0
SH_6_PP_ASB_lapse_b,8,0
SH_6_PP_ASB_lapse_b,9,0
SH_6_PP_ASB_lapse_b,10,0
SH_6_PP_ASB_lapse_b,11,0
SH_6_PP_ASB_pup_a,1,0
SH_6_PP_ASB_pup_a,2,0
SH_6_PP_ASB_pup_a,3,0
SH_6_PP_ASB_pup_a,4,0
SH_6_PP_ASB_pup_a,5,0
SH_6_PP_ASB_pup_a,6,0
SH_6_PP_ASB_pup_a,7,0
SH_6_PP_ASB_pup_a,8,0
SH_6_PP_ASB_pup_a,9,0
SH_6_PP_ASB_pup_a,10,0
SH_6_PP_ASB_pup_a,11,0
SH_6_PP_ASB_pup_b,1,0
SH_6_PP_ASB_pup_b,2,0
SH_6_PP_ASB_pup_b,3,0
SH_6_PP_ASB_pup_b,4,0
SH_6_PP_ASB_pup_b,5,0
SH_6_PP_ASB_pup_b,6,0
SH_6_PP_ASB_pup_b,7,0
SH_6_PP_ASB_pup_b,8,0
SH_6_PP_ASB_pup_b,9,0
SH_6_PP_ASB_pup_b,10,0
SH_6_PP_ASB_pup_b,11,0
SH_6_PP_MVI_lapse_a,1,0
SH_6_PP_MVI_lapse_a,2,0
SH_6_PP_MVI_lapse_a,3,0
SH_6_PP_MVI_lapse_a,4,0
SH_6_PP_MVI_lapse_a,5,0
SH_6_PP_MVI_lapse_a,6,0
SH_6_PP_MVI_lapse_a,7,0
SH_6_PP_MVI_lapse_a,8,0
SH_6_PP_MVI_lapse_a,9,0
SH_6_PP_MVI_lapse_a,10,0
SH_6_PP_MVI_lapse_a,11,0
SH_6_PP_MVI_lapse_b,1,0
SH_6_PP_MVI_lapse_b,2,0
SH_6_PP_MVI_lapse_b,3,0
SH_6_PP_MVI_lapse_b,4,0
SH_6_PP_MVI_lapse_b,5,0
SH_6_PP_MVI_lapse_b,6,0
SH_6_PP_MVI_lapse_b,7,0
SH_6_PP_MVI_lapse_b,8,0
SH_6_PP_MVI_lapse_b,9,0
SH_6_PP_MVI_lapse_b,10,0
SH_6_PP_MVI_lapse_b,11,0
SH_6_PP_MVI_pup_a,1,0
SH_6_PP_MVI_pup_a,2,0
SH_6_PP_MVI_pup_a,3,0
SH_6_PP_MVI_pup_a,4,0
SH_6_PP_MVI_pup_a,5,0
SH_6_PP_MVI_pup_a,6,0
SH_6_PP_MVI_pup_a,7,0
SH_6_PP_MVI_pup_a,8,0
SH_6_PP_MVI_pup_a,9,0
SH_6_PP_MVI_pup_a,10,0
SH_6_PP_MVI_pup_a,11,0
SH_6_PP_MVI_pup_b,1,0
SH_6_PP_MVI_pup_b,2,0
SH_6_PP_MVI_pup_b,3,0
SH_6_PP_MVI_pup_b,4,0
SH_6_PP_MVI_pup_b,5,0
SH_6_PP_MVI_pup_b,6,0
SH_6_PP_MVI_pup_b,7,0
SH_6_PP_MVI_pup_b,8,0
SH_6_PP_MVI_pup_b,9,0
SH_6_PP_MVI_pup_b,10,0
SH_6_PP_MVI_pup_b,11,0
SH_6_PUP_ASB_lapse_a,1,0
SH_6_PUP_ASB_lapse_a,2,0
SH_6_PUP_ASB_lapse_a,3,0
SH_6_PUP_ASB_lapse_a,4,0
SH_6_PUP_ASB_lapse_a,5,0
SH_6_PUP_ASB_lapse_a,6,0
SH_6_PUP_ASB_lapse_a,7,0
SH_6_PUP_ASB_lapse_a,8,0
SH_6_PUP_ASB_lapse_a,9,0
SH_6_PUP_ASB_lapse_a,10,0
SH_6_PUP_ASB_lapse_a,11,0
SH_6_PUP_ASB_lapse_b,1,0
SH_6_PUP_ASB_lapse_b,2,0
SH_6_PUP_ASB_lapse_b,3,0
SH_6_PUP_ASB_lapse_b,4,0
SH_6_PUP_ASB_lapse_b,5,0
SH_6_PUP_ASB_lapse_b,6,0
SH_6_PUP_ASB_lapse_b,7,0
SH_6_PUP_ASB_lapse_b,8,0
SH_6_PUP_ASB_lapse_b,9,0
SH_6_PUP_ASB_lapse_b,10,0
SH_6_PUP_ASB_lapse_b,11,0
SH_6_PUP_ASB_pup_a,1,0
SH_6_PUP_ASB_pup_a,2,0
SH_6_PUP_ASB_pup_a,3,0
SH_6_PUP_ASB_pup_a,4,0
SH_6_PUP_ASB_pup_a,5,0
SH_6_PUP_ASB_pup_a,6,0
SH_6_PUP_ASB_pup_a,7,0
SH_6_PUP_ASB_pup_a,8,0
SH_6_PUP_ASB_pup_a,9,0
SH_6_PUP_ASB_pup_a,10,0
SH_6_PUP_ASB_pup_a,11,0
SH_6_PUP_ASB_pup_b,1,0
SH_6_PUP_ASB_pup_b,2,0
SH_6_PUP_ASB_pup_b,3,0
SH_6_PUP_ASB_pup_b,4,0
SH_6_PUP_ASB_pup_b,5,0
SH_6_PUP_ASB_pup_b,6,0
SH_6_PUP_ASB_pup_b,7,0
SH_6_PUP_ASB_pup_b,8,0
SH_6_PUP_ASB_pup_b,9,0
SH_6_PUP_ASB_pup_b,10,0
SH_6_PUP_ASB_pup_b,11,0
SH_6_PUP_MVI_lapse_a,1,0
SH_6_PUP_MVI_lapse_a,2,0
SH_6_PUP_MVI_lapse_a,3,0
SH_6_PUP_MVI_lapse_a,4,0
SH_6_PUP_MVI_lapse_a,5,0
SH_6_PUP_MVI_lapse_a,6,0
SH_6_PUP_MVI_lapse_a,7,0
SH_6_PUP_MVI_lapse_a,8,0
SH_6_PUP_MVI_lapse_a,9,0
SH_6_PUP_MVI_lapse_a,10,0
SH_6_PUP_MVI_lapse_a,11,0
SH_6_PUP_MVI_lapse_b,1,0
SH_6_PUP_MVI_lapse_b,2,0
SH_6_PUP_MVI_lapse_b,3,0
SH_6_PUP_MVI_lapse_b,4,0
SH_6_PUP_MVI_lapse_b,5,0
SH_6_PUP_MVI_lapse_b,6,0
SH_6_PUP_MVI_lapse_b,7,0
SH_6_PUP_MVI_lapse_b,8,0
SH_6_PUP_MVI_lapse_b,9,0
SH_6_PUP_MVI_lapse_b,10,0
SH_6_PUP_MVI_lapse_b,11,0
SH_6_PUP_MVI_pup_a,1,0
SH_6_PUP_MVI_pup_a,2,0
SH_6_PUP_MVI_pup_a,3,0
SH_6_PUP_MVI_pup_a,4,0
SH_6_PUP_MVI_pup_a,5,0
SH_6_PUP_MVI_pup_a,6,0
SH_6_PUP_MVI_pup_a,7,0
SH_6_PUP_MVI_pup_a,8,0
SH_6_PUP_MVI_pup_a,9,0
SH_6_PUP_MVI_pup_a,10,0
SH_6_PUP_MVI_pup_a,11,0
SH_6_PUP_MVI_pup_b,1,0
SH_6_PUP_MVI_pup_b,2,0
SH_6_PUP_MVI_pup_b,3,0
SH_6_PUP_MVI_pup_b,4,0
SH_6_PUP_MVI_pup_b,5,0
SH_6_PUP_MVI_pup_b,6,0
SH_6_PUP_MVI_pup_b,7,0
SH_6_PUP_MVI_pup_b,8,0
SH_6_PUP_MVI_pup_b,9,0
SH_6_PUP_MVI_pup_b,10,0
SH_6_PUP_MVI_pup_b,11,0
SH_7_PP_ASB_lapse_a,1,0
SH_7_PP_ASB_lapse_a,2,0
SH_7_PP_ASB_lapse_a,3,0
SH_7_PP_ASB_lapse_a,4,0
SH_7_PP_ASB_lapse_a,5,0
SH_7_PP_ASB_lapse_a,6,0
SH_7_PP_ASB_lapse_a,7,0
SH_7_PP_ASB_lapse_a,8,0
SH_7_PP_ASB_lapse_a,9,0
SH_7_PP_ASB_lapse_a,10,0
SH_7_PP_ASB_lapse_a,11,0
SH_7_PP_ASB_lapse_b,1,0
SH_7_PP_ASB_lapse_b,2,0
SH_7_PP_ASB_lapse_b,3,0
SH_7_PP_ASB_lapse_b,4,0
SH_7_PP_ASB_lapse_b,5,0
SH_7_PP_ASB_lapse_b,6,0
SH_7_PP_ASB_lapse_b,7,0
SH_7_PP_ASB_lapse_b,8,0
SH_7_PP_ASB_lapse_b,9,0
SH_7_PP_ASB_lapse_b,10,0
SH_7_PP_ASB_lapse_b,11,0
SH_7_PP_ASB_pup_a,1,0
SH_7_PP_ASB_pup_a,2,0
SH_7_PP_ASB_pup_a,3,0
SH_7_PP_ASB_pup_a,4,0
SH_7_PP_ASB_pup_a,5,0
